id,title,acceptance_date,lact_number,status
102105,Soliqqa oid nizolarni sudgacha hal qilish mexanizmlarini takomillashtirish chora-tadbirlari to‘g‘risida,11.07.2025,PQ-223,Y
102106,"O‘zbekiston Respublikasi fuqarolarini, chet el fuqarolarini hamda fuqaroligi bo‘lmagan shaxslarni yashash joyi va turgan joyi bo‘yicha ro‘yxatdan o‘tkazish to‘g‘risida",10.07.2025,O‘RQ-1074,Y
102107,Yoshlar tadbirkorligini hamda ularning bandligini ta’minlashga qaratilgan biznes loyihalarni qo‘llab-quvvatlash va ularni moliyalashtirish tartibini belgilash chora-tadbirlari to‘g‘risida,10.07.2025,426,Y
102108,2025-2026-yillarda sun’iy intellekt texnologiyalari sohasida ustuvor loyihalarni amalga oshirish chora-tadbirlari to‘g‘risida,10.07.2025,425,Y
102109,O‘zbekiston Respublikasi davlat mustaqilligining o‘ttiz to‘rt yillik bayramiga tayyorgarlik ko‘rish va uni o‘tkazish to‘g‘risida,10.07.2025,PQ-222,Y
102110,Intellektual mulk sohasidagi ayrim davlat xizmatlarini ko‘rsatish bo‘yicha ma’muriy reglamentlarni tasdiqlash to‘g‘risida,10.07.2025,427,Y
102111,O‘zbekiston Respublikasining Ma’muriy javobgarlik to‘g‘risidagi kodeksiga o‘zgartirish va qo‘shimchalar kiritish haqida,10.07.2025,O‘RQ-1075,Y
102112,Xalq deputatlari Beruniy tuman Kengashining 2024-yil 11-oktabr kungi VI-93-107-13-182-K/24-sonli qarori ilovasiga o‘zgartirish kiritish to‘g‘risida,10.07.2025,VII-13-70-13-182-K/25,Y
102113,Qarshi shahrida maishiy chiqindilarni to‘plash va olib chiqib ketish bo‘yicha xizmat ko‘rsatish uchun majburiy to‘lov narxlari (tariflar)ni tasdiqlash to‘g‘risida,09.07.2025,VII-13-113-4-0-K/25,Y
102114,Karmana tumanida maktab yoshidagi bolalarni umumiy o‘rta ta’limga to‘liq qamrab olish yuzasidan tumandagi umumta’lim muassasalarining mikrohududlarini belgilash to‘g‘risida,09.07.2025,165-5-71-Q/25,Y
102115,Tumandagi mavjud mahalla fuqarolar yig‘inlarini tuman Maktabgacha va maktab ta’limi bo‘limi tasarrufidagi umumta’lim maktablariga mikrohududlar kesimida biriktirish to‘g‘risida,09.07.2025,162-7-93-Q/25,Y
102116,"Mahallalar faoliyati takomillashtirilishi munosabati bilan viloyatidagi mahallalarni tuzish, birlashtirish, boʻlish va tugatish, shuningdek ularning chegaralarini belgilash hamda oʻzgartirish kiritish masalalari toʻgʻrisida",09.07.2025,VII-14-83-5-0-K/25,Y
102117,Xalq deputatlari viloyat Kengashining 2025-yil 21-maydagi “Surxondaryo viloyatida issiqlik va issiq suv xizmatlari uchun tariflar (narxlar)ni ma’qullash to‘g‘risida”gi VII-9-77-8-0-K/25-sonli qaroriga o‘zgartirish va qo‘shimchalar kiritish to‘g‘risida,09.07.2025,VII-11-101-8-0-K/25,Y
102118,Import qilingan qishloq xo‘jaligi texnikalarini sotish bilan shug‘ullanuvchi rasmiy dilerlar reyestrini shakllantirish va yuritish tartibi to‘g‘risidagi nizomni tasdiqlash haqida,08.07.2025,421,Y
102119,"Guliston, Shirin va Yangiyer shaharlari jamoat transporti tizimida yangi, qoʻshimcha va ragʻbatlantiruvchi tariflarni joriy qilish hamda yoʻlkira haqini toʻlashda elektron toʻlov tizimidan foydalanishni takomillashtirish toʻgʻrisida",08.07.2025,264-9-0-Q/25,Y
102120,To‘raqo‘rg‘on tumanida maktab yoshidagi bolalarni umumiy o‘rta ta’limga to‘liq qamrab olish yuzasidan tumandagi umumta’lim muassasalarining mikrohududlarini belgilash to‘g‘risida,08.07.2025,334-6-85-Q/25,Y
102121,Toshkent tuman hokimining 2025-yil 13-iyundagi 172-10-212-Q/25-son qaroriga qisman o‘zgartirish kiritish to‘g‘risida,08.07.2025,256-10-212-Q/25,Y
102122,Toshkent tuman hokimining 2025-yil 13-iyundagi 173-10-212-Q/25-son qaroriga qisman o‘zgartirish kiritish to‘g‘risida,08.07.2025,257-10-212-Q/25,Y
102123,Hududlarni (mikrohududlarni) davlat umumiy o‘rta ta’lim muassasalariga biriktirish to‘g‘risida,08.07.2025,309-6-91-Q/25,Y
102124,Xalqaro shartnomani tasdiqlash to‘g‘risida,08.07.2025,PQ-220,Y
102125,2028-yil Los-Anjeles shahrida (AQSH) bo‘lib o‘tadigan XXXIV yozgi Olimpiya va XVIII Paralimpiya o‘yinlariga O‘zbekiston sportchilarini kompleks tayyorlash to‘g‘risida,08.07.2025,PQ-221,Y
102126,Maktabgacha ta’lim tashkiloti pedagogining kasbiy standartini tasdiqlash to‘g‘risida,08.07.2025,423,Y
102127,2025-yilda davlat tomonidan ijtimoiy-iqtisodiy rivojlantirish dasturlarini amalga oshirishda fuqarolik jamiyati institutlarini ijtimoiy sheriklik asosida jalb qilish dasturini tasdiqlash to‘g‘risida,08.07.2025,420,Y
102128,"Qoraqalpog‘iston Respublikasi respublika budjetining, viloyatlar viloyat budjetlarining, Toshkent shahri shahar budjetining, tumanlar va shaharlar budjetlarining qo‘shimcha manbalarini aniqlash va ulardan foydalanish tartibi to‘g‘risidagi namunaviy nizomga o‘zgartirish va qo‘shimchalar kiritish haqida",08.07.2025,KQ-205-V,Y
102129,Issiqxona gazlarining chiqarilishini cheklash to‘g‘risida,07.07.2025,O‘RQ-1073,Y
102130,O‘zbekiston Respublikasi Advokatlar palatasining hududiy boshqarmalari huzuridagi malaka komissiyalari to‘g‘risidagi nizomni tasdiqlash haqida,07.07.2025,3637,Y
